,stop_id,stop_name,images
121,8501500,Martigny,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Martigny.jpg
122,8501501,Charrat-Fully,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
123,8501502,Saxon,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
124,8501503,Riddes,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
125,8501505,Ardon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Ardon.jpg
126,8501506,Sion,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Sion.jpg
127,8501507,St-Léonard,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
128,8501509,Sierre/Siders,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
129,8501510,Châteauneuf-Conthey,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
130,8501600,Salgesch,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Salgesch.jpg
131,8501601,Leuk,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Leuk.jpg
132,8501602,Turtmann,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Turtmann.jpg
133,8501603,Gampel-Steg,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Gampel-Steg.jpg
134,8501604,Raron,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Raron.jpg
135,8501605,Visp,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Visp.jpg
136,8501609,Brig,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Brig.jpg
137,8502000,Aarburg-Oftringen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Aarburg-Oftringen.jpg
138,8502001,Zofingen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Zofingen.jpg
139,8502002,Brittnau-Wikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Brittnau-Wikon.jpg
140,8502003,Reiden,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Reiden.jpg
141,8502004,Dagmersellen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Dagmersellen.jpg
142,8502005,Nebikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Nebikon.jpg
143,8502006,Wauwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Wauwil.jpg
144,8502007,Sursee,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Sursee.jpg
145,8502008,Nottwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Nottwil.jpg
146,8502009,Sempach-Neuenkirch,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Sempach-Neuenkirch.jpg
147,8502010,St. Erhard-Knutwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/St._Erhard-Knutwil.jpg
148,8502011,Oberkirch LU,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
149,8502012,Rothenburg Dorf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rothenburg_Dorf.jpg
150,8502017,Waldibrücke,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
151,8502020,Rothenburg,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rothenburg.jpg
152,8502021,Emmenbrücke,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
153,8502022,Eschenbach,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Eschenbach.jpg
154,8502023,Ballwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Ballwil.jpg
155,8502024,Hochdorf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Hochdorf.jpg
156,8502025,Baldegg,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Baldegg.jpg
157,8502027,Hitzkirch,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Hitzkirch.jpg
158,8502028,Emmenbrücke Gersag,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
159,8502030,Seon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Seon.jpg
160,8502033,Birrwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Birrwil.jpg
161,8502034,Beinwil am See,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Beinwil_am_See.jpg
162,8502100,Safenwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Safenwil.jpg
163,8502103,Suhr,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Suhr.jpg
