,stop_id,stop_name,event_name,description,categories,url
468,8503128,Dübendorf,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
469,8503128,Dübendorf,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
470,8503128,Dübendorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
471,8503128,Dübendorf,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
472,8503128,Dübendorf,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
473,8503128,Dübendorf,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
474,8503129,Wallisellen,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
475,8503129,Wallisellen,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
476,8503129,Wallisellen,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
477,8503129,Wallisellen,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
478,8503129,Wallisellen,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
479,8503129,Wallisellen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
480,8503129,Wallisellen,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
481,8503129,Wallisellen,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
482,8503129,Wallisellen,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
483,8503130,Hinwil,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
484,8503130,Hinwil,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
485,8503130,Hinwil,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
486,8503134,Bauma,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
487,8503136,Fischenthal,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
488,8503138,Wald,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
489,8503138,Wald,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
490,8503138,Wald,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
491,8503139,Tann-Dürnten,Bachtel Tower,"Bachtel Tower is a 60 m tall radio tower on 1,115 m high Bachtel mountain near Hinwil, Switzerland, overlooking the Zürcher Oberland. ",['hiking'],https://go.sygic.com/travel/place?id=poi:10135407
492,8503139,Tann-Dürnten,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
493,8503139,Tann-Dürnten,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
494,8503139,Tann-Dürnten,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
495,8503141,Küsnacht Goldbach,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
496,8503141,Küsnacht Goldbach,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
497,8503141,Küsnacht Goldbach,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
498,8503141,Küsnacht Goldbach,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
499,8503141,Küsnacht Goldbach,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
500,8503141,Küsnacht Goldbach,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
501,8503141,Küsnacht Goldbach,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
502,8503141,Küsnacht Goldbach,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
503,8503141,Küsnacht Goldbach,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
504,8503147,Stettbach,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
505,8503147,Stettbach,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
506,8503147,Stettbach,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
507,8503147,Stettbach,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
508,8503147,Stettbach,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
509,8503147,Stettbach,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
510,8503147,Stettbach,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
511,8503147,Stettbach,Wintsch-Tonercote,,['shopping'],https://go.sygic.com/travel/place?id=poi:13564328
512,8503147,Stettbach,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
513,8503200,Kilchberg,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
514,8503200,Kilchberg,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
515,8503200,Kilchberg,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
516,8503200,Kilchberg,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
517,8503200,Kilchberg,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
518,8503200,Kilchberg,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
519,8503200,Kilchberg,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
520,8503200,Kilchberg,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
521,8503201,Rüschlikon,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
522,8503201,Rüschlikon,Tower,,,https://go.sygic.com/travel/place?id=poi:37332332
523,8503201,Rüschlikon,Coop Pronto Prime Tower,,['shopping'],https://go.sygic.com/travel/place?id=poi:10546192
524,8503201,Rüschlikon,Prime Tower,,,https://go.sygic.com/travel/place?id=poi:24578886
525,8503201,Rüschlikon,Kieser Training Prime Tower,,['doing_sports'],https://go.sygic.com/travel/place?id=poi:18511323
526,8503201,Rüschlikon,Swisscom Tower,,,https://go.sygic.com/travel/place?id=poi:26987747
